                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.54224,                 0.5193,                 1.0341,                 0.9625,                0.85145,                0.93348,                0.75568,                0.74363,                0.54015,                0.94199,             0.00035412,             0.00035412,             0.00035412
                    136,                0.55461,                0.53194,                 1.0371,                0.96326,                0.85502,                0.93577,                0.75868,                 0.7459,                0.54168,                0.94694,             0.00034175,             0.00034175,             0.00034175
                    137,                0.53671,                0.51685,                 1.0273,                0.94436,                0.86097,                0.93542,                0.75969,                0.73772,                0.54756,                 0.9451,             0.00032938,             0.00032938,             0.00032938
                    138,                0.54232,                0.51613,                 1.0325,                0.96091,                0.85145,                0.93729,                0.75655,                0.73341,                0.54329,                0.93777,               0.000317,               0.000317,               0.000317
                    139,                0.55794,                0.54006,                 1.0341,                0.95548,                0.85531,                0.94093,                 0.7584,                 0.7228,                0.53847,                0.93473,             0.00030463,             0.00030463,             0.00030463
                    140,                0.54253,                0.53044,                 1.0322,                0.95209,                 0.8641,                0.93737,                 0.7608,                0.72812,                0.53619,                0.93029,             0.00029225,             0.00029225,             0.00029225
                    141,                0.53684,                0.51053,                 1.0286,                0.95596,                0.86522,                0.94306,                0.75628,                0.73115,                0.53294,                0.93285,             0.00027988,             0.00027988,             0.00027988
                    142,                0.53098,                 0.5207,                 1.0293,                0.93159,                0.86232,                0.93571,                0.75465,                0.73475,                0.56167,                0.93217,              0.0002675,              0.0002675,              0.0002675
                    143,                0.53402,                0.52428,                 1.0296,                0.94089,                0.86508,                 0.9365,                0.75278,                0.74471,                0.54781,                0.93548,             0.00025513,             0.00025513,             0.00025513
                    144,                0.52708,                0.50446,                 1.0303,                0.93442,                0.87681,                0.93924,                0.75643,                0.73068,                0.54204,                0.92987,             0.00024275,             0.00024275,             0.00024275
                    145,                0.54813,                 0.5298,                 1.0338,                0.94742,                0.84876,                0.93905,                0.76377,                0.72894,                 0.5386,                0.92646,             0.00023037,             0.00023037,             0.00023037
                    146,                 0.5306,                0.50453,                 1.0212,                0.92507,                0.89493,                0.94089,                0.75793,                0.73661,                0.54036,                0.93217,               0.000218,               0.000218,               0.000218
                    147,                0.51897,                0.50725,                 1.0177,                0.89401,                0.91684,                0.94246,                  0.763,                0.74406,                0.55188,                 0.9343,             0.00020562,             0.00020562,             0.00020562
                    148,                0.53413,                0.50931,                 1.0246,                0.93637,                0.88768,                0.94653,                0.76779,                0.73796,                0.53629,                 0.9231,             0.00019325,             0.00019325,             0.00019325
                    149,                0.51947,                 0.4937,                  1.022,                0.91176,                0.89853,                0.94201,                0.77276,                0.72629,                0.53021,                0.91992,             0.00018088,             0.00018088,             0.00018088
                    150,                0.52252,                0.51254,                 1.0211,                0.93442,                0.87758,                0.94156,                0.77355,                0.71819,                 0.5216,                0.92251,              0.0001685,              0.0001685,              0.0001685
